,customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date
8406,8407,25,Male,USA,88209,42,22,51.01,7,4,0.18,0,Excellent customer service.,2025-07-02
5009,5010,32,Female,India,79323,75,22,59.74,5,8,0.35,0,Love the products and fast shipping.,2025-07-08
5736,5737,64,Female,USA,175810,41,40,70.32,14,12,0.98,0,Excellent customer service.,2025-10-03
5554,5555,40,Female,UK,101540,79,12,53.07,0,27,0.64,0,Very satisfied with my purchase.,2025-05-15
288,289,50,Female,India,64374,61,29,41.44,10,2,0.23,0,Very satisfied with my purchase.,2025-08-27
5564,5565,37,Female,Brazil,78673,79,44,46.27,15,20,0.49,0,Good quality and value for money.,2025-06-09
8324,8325,27,Male,Canada,122205,84,26,61.01,6,9,0.94,0,Good quality and value for money.,2025-07-24
2623,2624,21,Male,South Africa,64685,6,4,31.51,0,8,0.5,1,Difficult to navigate the website.,2024-02-02
8859,8860,21,Female,UK,112403,65,14,62.77,0,1,0.71,1,Difficult to navigate the website.,2024-01-02
476,477,30,Female,France,67526,73,31,41.49,10,30,0.75,0,Very satisfied with my purchase.,2025-05-25
8591,8592,49,Male,Germany,63924,24,21,40.5,7,15,0.73,1,Customer service was unhelpful.,2024-11-27
9713,9714,36,Female,Australia,105802,32,29,39.75,9,30,0.02,0,"Great experience, will shop again!",2025-10-21
6522,6523,61,Female,Japan,148880,96,21,59.75,1,19,0.55,0,Excellent customer service.,2025-06-03
3111,3112,21,Male,USA,43344,31,13,28.48,3,25,0.7,0,The website is easy to use.,2025-07-12
9470,9471,68,Female,Australia,128880,3,29,40.01,10,27,0.54,0,The website is easy to use.,2025-05-15
737,738,18,Female,USA,138196,77,15,67.33,0,29,0.71,0,The website is easy to use.,2025-05-28
3133,3134,63,Male,USA,173073,26,31,69.67,10,8,0.62,0,Good quality and value for money.,2025-07-24
8047,8048,26,Female,USA,64812,68,26,47.16,8,3,0.2,0,"Great experience, will shop again!",2025-09-01
6551,6552,38,Female,Brazil,42099,41,23,40.03,8,20,0.64,0,The website is easy to use.,2025-05-17
5407,5408,34,Female,Brazil,28436,83,28,34.66,9,29,0.8,0,"Great experience, will shop again!",2025-10-02
5563,5564,68,Male,USA,170059,81,25,63.79,4,1,0.75,0,Very satisfied with my purchase.,2025-10-08
5328,5329,54,Female,India,25653,33,34,37.63,15,25,0.38,0,Good quality and value for money.,2025-08-05
6718,6719,42,Male,UK,62404,100,45,50.72,15,4,0.04,0,The website is easy to use.,2025-05-18
5118,5119,21,Male,South Africa,42695,70,15,50.39,2,11,0.21,0,Good quality and value for money.,2025-10-13
4619,4620,47,Female,Germany,177790,56,23,69.83,4,17,0.66,0,Excellent customer service.,2025-08-23
3689,3690,62,Female,South Africa,78418,26,31,32.96,13,8,0.6,0,The website is easy to use.,2025-07-14
7716,7717,37,Male,UK,115787,88,18,70.61,1,29,0.6,0,Good quality and value for money.,2025-07-19
1839,1840,40,Male,Australia,135107,24,18,51.14,5,10,0.9,0,Love the products and fast shipping.,2025-07-16
1995,1996,24,Male,UK,116121,65,20,54.07,4,29,0.54,0,"Great experience, will shop again!",2025-08-21
2399,2400,70,Female,USA,48457,67,20,39.8,5,5,0.95,1,The product did not match the description.,2025-02-12
6510,6511,27,Female,USA,127019,69,27,68.44,7,20,0.23,0,Good quality and value for money.,2025-08-01
9356,9357,43,Female,USA,90305,32,9,45.94,1,17,0.59,0,Very satisfied with my purchase.,2025-06-28
4119,4120,24,Male,Brazil,57700,6,2,37.31,0,28,0.96,1,"Poor quality, item broke after a week.",2023-11-19
5894,5895,54,Male,Australia,80301,76,24,54.48,7,26,0.82,0,The website is easy to use.,2025-08-23
800,801,48,Female,India,35865,70,15,44.29,2,29,0.85,0,Excellent customer service.,2025-09-14
8423,8424,33,Male,Australia,51941,47,27,38.65,10,23,0.82,0,"Great experience, will shop again!",2025-10-06
7680,7681,42,Male,Japan,45593,69,29,50.48,9,27,0.93,0,Very satisfied with my purchase.,2025-06-21
1405,1406,42,Female,Canada,134494,79,29,71.34,7,29,0.29,0,Good quality and value for money.,2025-07-20
5431,5432,68,Male,Japan,148659,58,13,52.9,0,15,0.96,1,Shipping was too slow.,2024-10-16
69,70,68,Female,Germany,100053,63,22,47.6,6,9,0.21,0,Excellent customer service.,2025-07-31
9543,9544,54,Male,Canada,65032,58,40,45.95,15,13,0.41,0,The website is easy to use.,2025-06-01
2759,2760,34,Female,Germany,103016,28,35,40.75,14,6,0.52,0,Very satisfied with my purchase.,2025-08-15
8294,8295,46,Male,USA,175374,55,39,74.16,13,22,0.73,0,Love the products and fast shipping.,2025-07-28
1586,1587,60,Female,Germany,136694,25,26,48.16,8,7,0.12,1,"Poor quality, item broke after a week.",2024-07-10
6666,6667,45,Male,South Africa,72703,56,29,51.03,9,7,0.5,0,Love the products and fast shipping.,2025-06-19
8014,8015,68,Male,UK,157866,89,47,65.76,15,2,0.05,0,The website is easy to use.,2025-06-14
1074,1075,46,Female,Brazil,83736,29,12,42.45,3,9,0.91,0,The website is easy to use.,2025-05-19
3063,3064,53,Male,USA,60096,9,8,41.04,1,10,0.39,0,"Great experience, will shop again!",2025-10-27
6487,6488,69,Female,Australia,111550,86,13,64.33,0,22,0.56,0,Excellent customer service.,2025-06-08
4705,4706,62,Male,Japan,138180,2,34,48.64,13,3,0.25,0,Love the products and fast shipping.,2025-07-21
9069,9070,51,Male,Australia,76453,63,28,54.48,9,28,0.51,0,"Great experience, will shop again!",2025-05-25
2603,2604,30,Female,Australia,72110,29,15,43.72,4,19,0.37,0,Love the products and fast shipping.,2025-10-04
7738,7739,57,Male,Australia,55900,39,18,45.34,6,21,0.42,0,The website is easy to use.,2025-08-20
1579,1580,34,Female,India,63581,52,26,49.23,9,16,0.69,0,Excellent customer service.,2025-08-29
5058,5059,46,Female,Canada,68676,10,22,41.44,9,23,0.17,0,Love the products and fast shipping.,2025-06-26
5753,5754,47,Male,Australia,70336,12,12,41.25,3,21,0.92,0,Good quality and value for money.,2025-10-06
3548,3549,57,Female,Germany,175338,87,35,75.86,9,15,0.05,0,"Great experience, will shop again!",2025-09-15
409,410,21,Male,India,67742,57,14,38.3,3,6,0.8,0,Excellent customer service.,2025-07-07
4097,4098,19,Male,UK,95656,37,12,55.29,1,27,0.84,0,Excellent customer service.,2025-10-21
6461,6462,47,Female,Australia,75114,35,22,40.41,6,18,0.43,0,Love the products and fast shipping.,2025-08-08
5601,5602,36,Female,Japan,42837,26,14,28.22,5,11,0.41,1,I will not be shopping here again.,2024-08-13
5231,5232,28,Female,India,53959,13,4,29.77,0,15,0.26,0,Love the products and fast shipping.,2025-05-22
3777,3778,70,Female,India,67652,54,13,49.01,1,23,0.55,0,Good quality and value for money.,2025-08-03
2726,2727,30,Male,Germany,92470,41,23,51.05,7,21,0.19,0,The website is easy to use.,2025-07-01
477,478,46,Male,Germany,136482,12,23,51.44,8,20,0.18,0,Good quality and value for money.,2025-07-10
1329,1330,41,Male,South Africa,26713,15,9,25.87,2,10,0.88,0,Very satisfied with my purchase.,2025-08-28
4035,4036,31,Female,Australia,145159,56,27,58.12,7,19,0.17,0,Good quality and value for money.,2025-08-06
9642,9643,34,Male,USA,145158,62,38,65.62,12,10,0.54,0,Excellent customer service.,2025-10-16
1777,1778,54,Female,Japan,179583,30,27,71.1,7,17,0.93,0,Good quality and value for money.,2025-09-01
6096,6097,42,Male,Brazil,52742,100,11,54.52,0,17,0.43,0,"Great experience, will shop again!",2025-06-07
751,752,49,Female,USA,161946,48,33,68.66,9,28,0.71,0,"Great experience, will shop again!",2025-09-23
5792,5793,63,Female,India,83902,97,44,48.04,14,24,0.88,0,Good quality and value for money.,2025-10-10
4060,4061,48,Female,USA,52544,52,36,50.78,13,25,0.61,0,The website is easy to use.,2025-09-22
9041,9042,66,Male,USA,163546,63,22,74.2,4,12,0.86,0,"Great experience, will shop again!",2025-07-02
6030,6031,66,Male,Germany,89712,96,37,50.74,11,10,0.32,0,"Great experience, will shop again!",2025-08-04
5898,5899,65,Male,India,73754,52,24,50.89,7,11,0.34,0,Good quality and value for money.,2025-08-08
9338,9339,35,Male,USA,77550,31,35,46.42,14,23,0.74,0,The website is easy to use.,2025-09-12
9160,9161,18,Female,Brazil,74929,61,10,42.2,0,1,0.4,0,Excellent customer service.,2025-09-05
9996,9997,44,Male,USA,95367,86,41,54.22,13,17,0.19,0,"Great experience, will shop again!",2025-08-15
5151,5152,61,Female,UK,171561,31,35,61.75,11,15,0.82,1,I will not be shopping here again.,2024-04-23
468,469,25,Female,India,46887,66,22,45.09,7,30,0.56,0,Good quality and value for money.,2025-08-13
1545,1546,65,Male,Canada,102723,97,36,58.01,11,9,0.47,0,"Great experience, will shop again!",2025-09-25
6311,6312,68,Female,India,91896,30,23,48.28,8,3,0.1,0,"Great experience, will shop again!",2025-06-11
2683,2684,68,Male,France,88244,89,28,55.11,7,25,0.97,0,Very satisfied with my purchase.,2025-10-09
8966,8967,66,Male,Brazil,28426,98,37,45.32,13,11,0.82,0,"Great experience, will shop again!",2025-05-19
6181,6182,41,Male,Canada,125524,69,15,55.47,0,29,0.77,0,Very satisfied with my purchase.,2025-06-24
1025,1026,45,Female,South Africa,37612,39,9,38.69,1,16,0.52,0,"Great experience, will shop again!",2025-09-19
5112,5113,52,Male,UK,78312,63,29,44.46,9,10,0.22,0,Very satisfied with my purchase.,2025-06-28
8562,8563,23,Male,France,39374,92,20,55.76,5,22,0.06,0,Excellent customer service.,2025-08-23
5368,5369,69,Female,USA,159158,18,29,46.67,10,24,0.2,0,"Great experience, will shop again!",2025-09-02
2354,2355,68,Female,Germany,117332,34,36,46.67,12,20,0.96,1,The product did not match the description.,2024-12-03
7278,7279,34,Male,Canada,134974,21,24,41.87,8,22,0.99,0,"Great experience, will shop again!",2025-07-12
3602,3603,43,Female,France,22789,20,27,31.39,11,18,0.31,0,Love the products and fast shipping.,2025-05-29
773,774,60,Male,USA,149959,38,16,66.44,3,19,0.9,0,Love the products and fast shipping.,2025-09-12
6773,6774,30,Male,UK,134353,54,11,62.2,0,3,0.64,0,Good quality and value for money.,2025-08-02
8809,8810,62,Female,USA,98990,86,37,61.99,12,8,0.69,0,Excellent customer service.,2025-09-10
3382,3383,23,Female,Canada,48169,79,20,49.17,4,15,0.67,0,Excellent customer service.,2025-08-29
641,642,18,Female,India,78446,61,11,41.84,0,23,0.76,0,Good quality and value for money.,2025-10-15
4233,4234,53,Male,France,73471,57,24,43.52,7,21,0.79,0,The website is easy to use.,2025-10-19
3815,3816,64,Male,South Africa,90524,70,40,49.02,14,24,0.52,0,The website is easy to use.,2025-07-29
4104,4105,64,Male,USA,159199,43,22,51.04,5,17,0.58,0,Very satisfied with my purchase.,2025-06-07
9925,9926,30,Male,UK,148609,23,31,56.69,10,29,0.44,0,Very satisfied with my purchase.,2025-07-06
1108,1109,56,Male,Germany,149035,54,38,50.7,13,1,0.14,0,The website is easy to use.,2025-08-23
3527,3528,66,Male,Australia,48057,54,24,42.7,7,4,0.63,0,Very satisfied with my purchase.,2025-10-09
3495,3496,61,Male,South Africa,67488,94,21,53.68,5,24,0.23,0,Good quality and value for money.,2025-05-13
1420,1421,19,Female,India,57056,100,13,54.9,0,24,0.21,0,"Great experience, will shop again!",2025-05-27
6923,6924,30,Male,UK,110520,27,30,42.84,10,6,0.01,0,Excellent customer service.,2025-06-22
3881,3882,49,Male,India,26880,15,32,19.85,15,1,0.13,1,Difficult to navigate the website.,2024-03-27
8353,8354,53,Male,USA,99343,73,26,49.24,7,20,0.64,0,Excellent customer service.,2025-10-27
6245,6246,45,Female,Germany,107184,64,41,59.45,15,4,0.24,0,Good quality and value for money.,2025-06-13
4938,4939,22,Male,UK,67390,95,23,56.86,4,29,0.27,0,Excellent customer service.,2025-06-09
6798,6799,62,Female,USA,176665,84,39,75.1,11,25,0.48,0,"Great experience, will shop again!",2025-10-13
7812,7813,38,Male,India,69672,43,28,37.86,10,11,0.88,0,Very satisfied with my purchase.,2025-06-08
1680,1681,68,Male,USA,135985,17,20,42.82,5,26,0.14,1,Difficult to navigate the website.,2025-01-13
6715,6716,66,Female,UK,71356,51,29,37.81,9,25,0.85,0,"Great experience, will shop again!",2025-09-30
633,634,50,Female,Australia,136743,26,14,47.34,2,17,0.6,0,Excellent customer service.,2025-06-23
2569,2570,59,Female,India,74437,89,40,46.24,14,11,0.52,0,"Great experience, will shop again!",2025-05-27
7359,7360,65,Female,USA,146598,25,42,60.14,15,28,0.35,0,Good quality and value for money.,2025-05-14
2166,2167,50,Female,India,40041,57,33,33.4,13,18,0.11,0,Excellent customer service.,2025-09-05
8169,8170,64,Female,Germany,161893,12,36,59.13,12,11,0.26,0,Good quality and value for money.,2025-09-23
8845,8846,59,Female,USA,142516,41,44,57.42,15,23,0.15,0,Good quality and value for money.,2025-09-21
2825,2826,39,Male,UK,149679,53,27,57.18,7,23,0.38,0,Good quality and value for money.,2025-07-31
4087,4088,29,Male,Germany,73077,89,29,57.31,7,14,0.19,0,"Great experience, will shop again!",2025-06-26
6243,6244,67,Female,France,39849,18,27,33.71,12,29,0.69,0,Love the products and fast shipping.,2025-09-23
8364,8365,53,Male,Canada,55729,73,35,47.17,11,3,0.5,0,"Great experience, will shop again!",2025-10-03
3941,3942,47,Male,India,27109,4,12,33.79,5,20,0.52,1,I will not be shopping here again.,2024-03-15
9179,9180,31,Female,Japan,53558,25,29,34.96,11,15,0.17,0,"Great experience, will shop again!",2025-05-12
8075,8076,62,Male,Brazil,91945,44,22,41.54,7,2,0.96,1,Shipping was too slow.,2024-05-03
9195,9196,32,Male,Germany,85224,84,21,59.12,5,25,0.69,0,Love the products and fast shipping.,2025-09-06
4128,4129,70,Male,Germany,157682,77,45,68.07,15,3,0.74,0,Love the products and fast shipping.,2025-10-11
1172,1173,42,Male,USA,80755,96,42,52.67,14,6,0.81,0,Very satisfied with my purchase.,2025-07-10
8668,8669,52,Female,UK,54297,98,34,58.75,10,30,0.67,0,Good quality and value for money.,2025-09-18
4222,4223,42,Female,USA,68072,83,17,49.72,2,17,0.8,0,Good quality and value for money.,2025-10-24
4834,4835,58,Female,USA,129008,72,32,62.56,8,20,0.5,0,Love the products and fast shipping.,2025-07-25
2576,2577,62,Female,Germany,66847,11,14,42.4,4,3,0.59,0,"Great experience, will shop again!",2025-06-16
1989,1990,37,Female,USA,74247,57,11,52.71,0,11,0.85,0,Good quality and value for money.,2025-08-24
6973,6974,64,Female,Canada,74038,53,34,40.31,12,23,0.23,0,Excellent customer service.,2025-05-29
5836,5837,25,Male,India,45105,95,12,52.5,0,23,0.48,0,"Great experience, will shop again!",2025-07-31
4532,4533,39,Male,USA,50062,99,42,54.87,15,29,0.21,0,Good quality and value for money.,2025-08-09
3209,3210,24,Male,USA,58010,33,11,35.09,2,16,0.15,0,Love the products and fast shipping.,2025-09-11
3855,3856,44,Male,Brazil,74049,46,38,47.83,15,15,0.42,0,Very satisfied with my purchase.,2025-10-14
2628,2629,63,Male,India,40838,67,35,49.76,13,24,0.58,0,Excellent customer service.,2025-05-25
7803,7804,19,Male,France,35521,10,5,27.72,0,25,0.72,0,Good quality and value for money.,2025-10-13
1410,1411,60,Female,India,55749,49,28,48.32,9,4,0.48,0,The website is easy to use.,2025-05-05
8257,8258,57,Male,USA,142864,54,36,57.87,11,4,0.76,1,Difficult to navigate the website.,2025-03-21
7386,7387,41,Female,USA,105578,12,22,41.08,7,8,0.49,0,Love the products and fast shipping.,2025-06-30
4303,4304,65,Female,USA,77521,68,29,45.12,8,28,0.79,0,Love the products and fast shipping.,2025-08-09
6750,6751,18,Male,USA,78272,53,11,41.34,0,11,0.34,1,Shipping was too slow.,2024-07-04
6555,6556,27,Male,USA,104785,99,21,57.46,2,20,0.38,0,Love the products and fast shipping.,2025-05-27
815,816,50,Male,France,25794,39,37,27.24,15,15,0.68,0,Very satisfied with my purchase.,2025-07-22
2404,2405,56,Female,Japan,153043,98,41,60.96,11,30,0.19,0,Very satisfied with my purchase.,2025-10-16
5397,5398,18,Male,USA,50430,49,7,38.67,0,13,0.78,0,Excellent customer service.,2025-08-30
9956,9957,69,Male,Australia,83799,36,25,48.39,8,18,0.86,0,Very satisfied with my purchase.,2025-10-13
2131,2132,67,Male,South Africa,63390,1,29,29.87,12,17,0.51,0,Love the products and fast shipping.,2025-06-23
1797,1798,52,Male,Brazil,61899,86,12,43.87,0,5,0.01,0,Excellent customer service.,2025-10-27
3090,3091,61,Female,USA,130490,7,31,52.24,11,8,0.12,0,Excellent customer service.,2025-05-02
4184,4185,44,Female,USA,127054,14,11,43.51,1,5,0.69,0,Good quality and value for money.,2025-07-28
4564,4565,59,Male,Brazil,73602,37,21,51.39,7,20,0.99,0,"Great experience, will shop again!",2025-09-17
5030,5031,46,Male,India,68161,23,28,29.86,11,26,0.24,0,The website is easy to use.,2025-07-01
8048,8049,38,Male,Brazil,32573,75,40,36.13,15,24,0.51,0,Very satisfied with my purchase.,2025-06-25
122,123,52,Female,India,69865,82,13,54.42,0,8,0.16,0,Good quality and value for money.,2025-07-22
179,180,38,Female,India,35127,64,22,39.23,7,19,0.48,0,Very satisfied with my purchase.,2025-10-17
9250,9251,68,Female,USA,54450,50,37,38.71,14,8,0.68,0,"Great experience, will shop again!",2025-09-15
8095,8096,65,Male,Germany,137965,20,40,58.4,15,5,0.11,0,Love the products and fast shipping.,2025-07-18
6429,6430,44,Male,Canada,51751,36,25,39.82,9,13,0.0,0,Very satisfied with my purchase.,2025-07-21
9737,9738,42,Female,Germany,146855,36,12,61.41,0,25,0.83,0,Excellent customer service.,2025-08-30
4992,4993,36,Female,South Africa,70639,93,36,46.75,12,14,0.13,0,Good quality and value for money.,2025-05-23
1157,1158,23,Male,South Africa,31755,27,9,35.54,2,28,0.36,0,Excellent customer service.,2025-05-11
9003,9004,41,Male,Germany,90540,15,7,37.29,0,12,0.76,1,Shipping was too slow.,2025-01-31
1532,1533,50,Male,UK,102594,46,16,40.79,2,16,0.07,0,Very satisfied with my purchase.,2025-10-05
8992,8993,60,Female,USA,86690,34,37,34.58,15,23,0.46,0,Love the products and fast shipping.,2025-08-09
7859,7860,56,Male,USA,117316,91,27,62.97,6,26,0.39,0,Very satisfied with my purchase.,2025-07-18
9110,9111,61,Female,UK,178633,55,27,67.67,7,18,0.54,0,Excellent customer service.,2025-06-25
1535,1536,22,Male,UK,146677,36,16,53.61,3,5,0.89,1,The product did not match the description.,2024-11-22
9259,9260,37,Male,India,57533,61,27,37.49,9,1,0.51,0,Love the products and fast shipping.,2025-07-12
5517,5518,24,Female,Canada,40100,44,13,38.8,3,20,0.75,0,Love the products and fast shipping.,2025-10-16
2605,2606,32,Male,USA,92860,77,35,48.66,10,3,0.29,0,Good quality and value for money.,2025-08-15
6127,6128,35,Male,Germany,47633,12,9,33.48,2,19,0.68,0,The website is easy to use.,2025-08-26
9141,9142,21,Male,South Africa,31686,40,10,35.29,2,15,0.96,1,Difficult to navigate the website.,2025-03-30
7458,7459,23,Male,UK,128138,2,14,55.05,3,7,0.26,1,"Poor quality, item broke after a week.",2024-04-21
2177,2178,22,Female,India,45450,66,14,33.63,2,24,0.45,0,Love the products and fast shipping.,2025-09-10
7990,7991,26,Female,Australia,73278,79,26,56.79,6,20,0.33,0,Very satisfied with my purchase.,2025-05-08
2351,2352,69,Male,India,38542,66,36,45.52,13,28,0.78,0,"Great experience, will shop again!",2025-08-20
9177,9178,59,Female,Canada,173210,3,20,60.08,6,20,0.3,0,Very satisfied with my purchase.,2025-09-08
3502,3503,59,Female,France,51758,52,27,38.15,9,16,0.97,0,Love the products and fast shipping.,2025-08-18
2134,2135,63,Male,Canada,57410,22,31,30.03,13,4,0.25,0,Excellent customer service.,2025-07-26
1480,1481,48,Female,India,32600,96,36,37.7,11,26,0.55,0,Excellent customer service.,2025-10-20
2793,2794,42,Female,Australia,115151,86,34,69.3,9,19,0.06,0,Love the products and fast shipping.,2025-07-12
4843,4844,21,Female,India,46477,96,14,43.26,0,13,0.2,0,Very satisfied with my purchase.,2025-09-23
9780,9781,65,Female,USA,73323,8,13,41.44,5,20,0.96,0,The website is easy to use.,2025-09-14
9934,9935,30,Female,Canada,55606,39,14,36.99,4,1,0.42,0,The website is easy to use.,2025-08-03
4762,4763,41,Female,India,21447,23,28,24.31,11,28,0.25,0,Love the products and fast shipping.,2025-10-23
7191,7192,43,Male,Canada,94349,34,35,45.36,13,22,0.19,0,The website is easy to use.,2025-06-27
6041,6042,32,Female,Germany,57461,36,21,31.48,7,24,0.93,0,Very satisfied with my purchase.,2025-09-05
9636,9637,39,Male,France,71847,27,29,42.91,11,30,0.27,0,Good quality and value for money.,2025-08-20
3445,3446,21,Female,India,55730,92,18,41.72,2,29,0.35,0,Good quality and value for money.,2025-08-16
8149,8150,67,Female,UK,117555,34,12,50.69,1,21,0.56,0,Excellent customer service.,2025-10-02
7765,7766,23,Male,Canada,49770,39,9,31.42,1,7,0.08,0,Excellent customer service.,2025-09-01
3620,3621,38,Female,Japan,67687,64,22,43.57,5,17,0.88,0,Very satisfied with my purchase.,2025-05-18
1952,1953,52,Male,UK,176240,70,41,61.65,12,28,0.06,0,The website is easy to use.,2025-06-08
555,556,55,Female,USA,120312,55,19,64.92,3,24,0.66,0,"Great experience, will shop again!",2025-08-22
4264,4265,43,Female,USA,133012,39,29,44.73,10,10,0.07,0,"Great experience, will shop again!",2025-07-15
1163,1164,37,Male,Australia,52512,72,41,45.91,15,22,0.08,0,Very satisfied with my purchase.,2025-10-12
1584,1585,43,Male,India,43407,6,13,37.92,5,13,0.0,0,The website is easy to use.,2025-10-24
6151,6152,44,Female,UK,65020,58,17,46.07,4,30,0.4,0,Very satisfied with my purchase.,2025-10-05
9720,9721,35,Male,UK,103413,44,33,40.24,11,17,0.14,0,Good quality and value for money.,2025-10-01
5837,5838,41,Male,Japan,49101,60,21,34.36,6,17,0.91,0,Good quality and value for money.,2025-09-04
5261,5262,56,Female,UK,87403,62,25,54.7,7,10,0.08,0,Excellent customer service.,2025-05-14
5239,5240,57,Female,Germany,119540,24,19,40.9,4,20,0.22,0,Good quality and value for money.,2025-06-08
7913,7914,58,Male,USA,167797,1,12,60.19,2,23,0.5,0,The website is easy to use.,2025-09-26
9162,9163,36,Female,Germany,93490,66,39,43.86,13,7,0.36,0,"Great experience, will shop again!",2025-08-22
1598,1599,32,Female,France,63606,4,18,30.49,8,24,0.8,1,Shipping was too slow.,2024-04-13
7182,7183,69,Male,UK,144244,96,19,74.01,0,16,0.17,0,Love the products and fast shipping.,2025-05-25
300,301,53,Female,Canada,119923,39,33,60.82,12,21,0.56,0,Good quality and value for money.,2025-09-25
9660,9661,45,Female,UK,43989,78,14,37.75,1,16,0.4,0,The website is easy to use.,2025-09-21
6947,6948,61,Male,South Africa,68919,29,16,31.56,4,4,0.3,0,Good quality and value for money.,2025-10-01
3794,3795,46,Male,India,69242,50,29,41.56,9,18,0.54,0,Good quality and value for money.,2025-09-02
4572,4573,41,Male,USA,95934,9,19,33.0,6,29,0.78,0,"Great experience, will shop again!",2025-10-13
4335,4336,24,Female,India,55532,97,20,58.21,4,26,0.91,0,Love the products and fast shipping.,2025-08-03
2858,2859,45,Female,Brazil,47107,90,16,40.63,2,12,0.4,0,Excellent customer service.,2025-09-13
5694,5695,51,Male,India,47650,25,5,36.19,0,13,0.38,0,Very satisfied with my purchase.,2025-10-21
3142,3143,61,Female,Brazil,73723,46,21,43.08,6,12,0.35,0,"Great experience, will shop again!",2025-07-25
1359,1360,36,Female,USA,72326,80,31,40.53,10,9,0.36,0,Good quality and value for money.,2025-09-26
4533,4534,59,Male,India,48988,89,38,57.37,14,9,0.69,0,Very satisfied with my purchase.,2025-05-20
9749,9750,54,Female,Canada,151026,55,34,56.21,11,7,0.88,0,Very satisfied with my purchase.,2025-05-20
5687,5688,19,Female,South Africa,24741,22,5,24.5,1,30,0.76,0,Very satisfied with my purchase.,2025-07-10
486,487,25,Male,France,41416,59,20,43.59,6,28,0.29,0,"Great experience, will shop again!",2025-07-19
7836,7837,32,Male,Canada,148168,64,22,61.63,4,25,0.16,0,Love the products and fast shipping.,2025-07-06
9554,9555,58,Female,Brazil,89292,60,29,54.62,10,14,0.88,0,"Great experience, will shop again!",2025-10-20
5900,5901,53,Female,UK,59468,10,12,41.73,4,10,0.18,1,Shipping was too slow.,2023-11-21
8116,8117,60,Male,Canada,102090,97,28,56.86,7,18,0.69,0,Love the products and fast shipping.,2025-08-04
7362,7363,28,Male,USA,101890,71,19,59.41,3,17,0.82,0,The website is easy to use.,2025-08-12
1152,1153,45,Male,Brazil,43593,81,12,54.33,1,30,0.78,0,"Great experience, will shop again!",2025-09-15
5382,5383,34,Female,USA,100483,93,39,59.3,13,18,0.12,0,Love the products and fast shipping.,2025-10-05
9741,9742,56,Female,Canada,178647,85,39,69.16,11,17,0.42,0,Love the products and fast shipping.,2025-10-04
5424,5425,59,Male,France,46410,18,20,42.16,8,28,0.36,0,Very satisfied with my purchase.,2025-06-13
8807,8808,35,Female,USA,80826,34,12,40.24,2,6,0.75,0,Good quality and value for money.,2025-06-05
5186,5187,51,Female,USA,65946,6,18,31.88,6,9,0.73,1,Shipping was too slow.,2024-05-22
8409,8410,24,Female,Germany,60935,68,22,39.78,5,28,0.41,0,Good quality and value for money.,2025-09-24
6189,6190,37,Female,USA,149277,59,39,68.81,12,25,0.62,0,The website is easy to use.,2025-07-22
9702,9703,43,Male,Canada,49468,94,16,56.52,2,13,0.38,0,Very satisfied with my purchase.,2025-09-06
8269,8270,70,Male,France,45975,52,30,41.74,11,25,0.4,0,The website is easy to use.,2025-06-20
5314,5315,33,Male,USA,131988,57,23,53.52,5,16,0.08,0,The website is easy to use.,2025-09-21
9903,9904,32,Female,USA,67340,25,27,35.04,10,16,0.76,0,Love the products and fast shipping.,2025-09-13
665,666,67,Male,Germany,142375,48,30,61.17,8,18,0.84,0,"Great experience, will shop again!",2025-08-02
3353,3354,50,Male,Japan,103146,48,29,45.48,9,7,0.02,0,"Great experience, will shop again!",2025-05-28
8851,8852,69,Female,Germany,156721,82,34,67.34,9,18,0.27,0,Love the products and fast shipping.,2025-10-23
8061,8062,21,Female,UK,54195,41,14,33.56,3,12,0.2,0,Excellent customer service.,2025-09-17
642,643,56,Male,Australia,106063,23,23,36.87,8,7,0.5,0,Love the products and fast shipping.,2025-08-21
9242,9243,37,Male,India,50728,4,26,21.06,11,16,0.05,0,Love the products and fast shipping.,2025-05-11
176,177,57,Male,UK,175453,74,46,61.1,15,18,0.18,0,Love the products and fast shipping.,2025-09-07
6431,6432,55,Female,Brazil,29953,35,6,27.05,1,14,0.22,0,The website is easy to use.,2025-05-29
9910,9911,24,Female,Germany,65870,27,10,31.92,1,10,0.34,0,Love the products and fast shipping.,2025-06-17
3438,3439,18,Female,USA,119864,78,14,53.17,0,22,0.85,0,Good quality and value for money.,2025-06-28
786,787,51,Female,UK,159230,45,27,58.15,7,9,0.42,0,The website is easy to use.,2025-05-13
6391,6392,69,Male,USA,120252,31,15,49.13,3,7,0.78,0,The website is easy to use.,2025-10-01
9065,9066,39,Female,India,76651,35,12,35.9,2,28,0.73,0,Excellent customer service.,2025-09-16
9927,9928,39,Female,USA,105082,82,23,57.37,5,9,0.71,0,Very satisfied with my purchase.,2025-06-24
3202,3203,30,Female,France,79590,26,17,34.52,4,9,0.57,1,Shipping was too slow.,2024-06-29
4803,4804,24,Female,France,41204,55,19,46.87,5,27,0.3,0,"Great experience, will shop again!",2025-09-19
7835,7836,70,Female,USA,58692,69,33,43.72,12,4,0.45,0,Love the products and fast shipping.,2025-10-24
7940,7941,52,Male,UK,88752,94,44,59.08,14,9,0.9,0,Love the products and fast shipping.,2025-07-23
